Species,Year,Colony,Num_Chicks,Dec_Temp_C
Gentoo penguin,2008,Landing Beach,118,-15.9
Gentoo penguin,2008,Mountain Cwm,686,-15.9
Gentoo penguin,2008,Natural Arch,1210,-15.9
Gentoo penguin,2008,Square Pond,637,-15.9
Gentoo penguin,2009,Johnson,2,-12.2
Gentoo penguin,2009,Landing Beach,0,-12.2
Gentoo penguin,2009,Mountain Cwm,18,-12.2
Gentoo penguin,2009,Natural Arch,20,-12.2
Gentoo penguin,2009,Square Pond,0,-12.2
Gentoo penguin,2010,Johnson,407,-14.9
Gentoo penguin,2010,Landing Beach,85,-14.9
Gentoo penguin,2010,Mountain Cwm,303,-14.9
Gentoo penguin,2010,Natural Arch,521,-14.9
Gentoo penguin,2010,Square Pond,288,-14.9
Gentoo penguin,2011,Johnson,1002,-14.8
Gentoo penguin,2011,Landing Beach,193,-14.8
Gentoo penguin,2011,Mountain Cwm,512,-14.8
Gentoo penguin,2011,Natural Arch,1087,-14.8
Gentoo penguin,2011,Square Pond,530,-14.8
Gentoo penguin,2012,Johnson,813,-11.7
Gentoo penguin,2012,Landing Beach,231,-11.7
Gentoo penguin,2012,Mountain Cwm,513,-11.7
Gentoo penguin,2012,Natural Arch,1103,-11.7
Gentoo penguin,2012,Square Pond,464,-11.7
Gentoo penguin,2013,Johnson,1384,-13.3
Gentoo penguin,2013,Landing Beach,407,-13.3
Gentoo penguin,2013,Mountain Cwm,729,-13.3
Gentoo penguin,2013,Natural Arch,1512,-13.3
Gentoo penguin,2013,Square Pond,629,-13.3
Gentoo penguin,2014,Johnson,1223,-17.9
Gentoo penguin,2014,Landing Beach,417,-17.9
Gentoo penguin,2014,Mountain Cwm,663,-17.9
Gentoo penguin,2014,Natural Arch,1215,-17.9
Gentoo penguin,2014,Square Pond,666,-17.9
Gentoo penguin,2015,Johnson,1794,-15.5
Gentoo penguin,2015,Landing Beach,608,-15.5
Gentoo penguin,2015,Mountain Cwm,759,-15.5
Gentoo penguin,2015,Natural Arch,1499,-15.5
Gentoo penguin,2015,Square Pond,704,-15.5
Gentoo penguin,2016,Johnson,0,-12.9
Gentoo penguin,2016,Landing Beach,0,-12.9
Gentoo penguin,2016,Mountain Cwm,0,-12.9
Gentoo penguin,2016,Natural Arch,0,-12.9
Gentoo penguin,2016,Square Pond,0,-12.9
Gentoo penguin,2017,Johnson,1217,-16.1
Gentoo penguin,2017,Landing Beach,476,-16.1
Gentoo penguin,2017,Mountain Cwm,607,-16.1
Gentoo penguin,2017,Natural Arch,1027,-16.1
Gentoo penguin,2017,Square Pond,580,-16.1
Gentoo penguin,2018,Johnson,1331,-14.9
Gentoo penguin,2018,Landing Beach,495,-14.9
Gentoo penguin,2018,Mountain Cwm,649,-14.9
Gentoo penguin,2018,Natural Arch,1166,-14.9
Gentoo penguin,2018,Square Pond,594,-14.9
Gentoo penguin,2019,Johnson,1451,-13.2
Gentoo penguin,2019,Landing Beach,474,-13.2
Gentoo penguin,2019,Mountain Cwm,498,-13.2
Gentoo penguin,2019,Natural Arch,1133,-13.2
Gentoo penguin,2019,Square Pond,839,-13.2
Gentoo penguin,2020,Johnson,1742,-16.4
Gentoo penguin,2020,Landing Beach,634,-16.4
Gentoo penguin,2020,Mountain Cwm,676,-16.4
Gentoo penguin,2020,Natural Arch,1421,-16.4
Gentoo penguin,2020,Square Pond,879,-16.4
